,community
195,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(516) 888-5395', 'id': 2378128, 'name': '1511-1521 Sheridan Ave', 'price_max': 1575, 'price_min': 1395, 'source_id': 'chkm1ge', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
196,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 1, 'contact_number': '(518) 313-1049', 'id': 2326656, 'name': 'THE WELLESLEY', 'price_max': 6500, 'price_min': 3500, 'source_id': '0y2epg3', 'sqft_max': 1350, 'sqft_min': 650}"
197,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'id': 2378129, 'name': '922-950 Bronx Park South', 'price_max': 1950, 'price_min': 1475, 'source_id': 'e57srkp', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
198,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4350', 'id': 2376284, 'name': '40 Park Avenue', 'price_max': 3350, 'price_min': 2500, 'source_id': 'pce2swv', 'sqft_max': 628, 'sqft_min': 500}"
199,"{'baths_max': 1, 'baths_min': 1, 'beds_max': 1, 'beds_min': 0, 'contact_number': '(838) 217-4345', 'id': 2376262, 'name': '300 East 57th Street', 'price_max': 3150, 'price_min': 2800, 'source_id': '1brxtp6', 'sqft_max': 628, 'sqft_min': 538}"
200,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(888) 732-6031', 'id': 1608323, 'name': 'Murray Hill Marquis', 'price_max': 4445, 'price_min': 2280, 'source_id': '73ymnfy', 'sqft_max': 1015, 'sqft_min': 408}"
201,"{'baths_max': 3, 'baths_min': 1, 'beds_max': 4, 'beds_min': 0, 'contact_number': '(844) 500-8654', 'id': 2221501, 'name': 'Jackson Park Luxury Rentals', 'price_max': 5793, 'price_min': 1875, 'source_id': 'jn8k3g6', 'sqft_max': 1, 'sqft_min': 1}"
202,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(844) 809-6381', 'id': 2309764, 'name': 'The Smile', 'price_max': 4110, 'price_min': 2171, 'source_id': '4mjv8tk', 'sqft_max': 1009, 'sqft_min': 470}"
203,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 3, 'beds_min': 0, 'contact_number': '(347) 318-0874', 'id': 1839285, 'name': 'Waterside Plaza', 'price_max': 6795, 'price_min': 1750, 'source_id': '4mwgfwk', 'sqft_max': 1158, 'sqft_min': 424}"
204,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(631) 268-5060', 'id': 2384745, 'name': '475 Clermont Ave', 'price_max': 5638, 'price_min': 2609, 'source_id': 't0rdmtc', 'sqft_max': 897, 'sqft_min': 435}"
205,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 4, 'beds_min': 0, 'contact_number': '(516) 669-8346', 'id': 2179256, 'name': '110 Wall Street', 'price_max': 6300, 'price_min': 2400, 'source_id': 'z21l4pz', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
206,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(332) 225-1255', 'id': 1562782, 'name': '555TEN', 'price_max': 5280, 'price_min': 2927, 'source_id': 'k6wk4v8', 'sqft_max': 550, 'sqft_min': 550}"
207,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(332) 255-8642', 'id': 2133237, 'name': 'Jamaica Crossing', 'price_max': 2628, 'price_min': 1668, 'source_id': '7ghg0mz', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
208,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 2, 'beds_min': 0, 'contact_number': '(844) 783-7566', 'id': 1715215, 'name': '4545 Center Blvd', 'price_max': 4695, 'price_min': 1895, 'source_id': '4ncpr3k', 'sqft_max': 1006, 'sqft_min': 495}"
209,"{'baths_max': 2, 'baths_min': 1, 'beds_max': 2, 'beds_min': 1, 'contact_number': '(347) 960-5263', 'id': 1471846, 'name': 'Park Towers South', 'price_max': 4583, 'price_min': 2521, 'source_id': 'xc7j4tn', 'sqft_max': None, 'sqft_min': None, 'sqft_hint': 'CALL'}"
